number,state,recall,overall_time_s,exit_code,non_zeros,k_graph,k_ext,eps_ext,prune_worst,max_dist,evpK
70,COMPLETE,0.7195,5.7,0,512,16,65,0.017401844340828785,8,95,24
71,COMPLETE,0.9484,18.0,0,896,62,106,0.005446066841231601,22,581,77
72,COMPLETE,0.8365,16.2,0,256,52,109,0.004187635810644899,21,175,76
73,COMPLETE,0.8856999999999999,10.5,0,192,30,67,0.0008526955512765511,17,654,84
74,COMPLETE,0.9186,10.2,0,448,46,67,0.00012228367949909953,21,303,52
75,COMPLETE,0.882,9.6,0,576,52,61,0.00010388036598272835,16,142,43
76,COMPLETE,0.9087999999999999,8.9,0,448,38,62,0.001130716587728337,19,369,35
77,COMPLETE,0.9164,9.9,0,448,44,65,0.0007164196477195742,20,364,35
78,COMPLETE,0.8170000000000001,7.1,0,704,30,20,0.029108326769348464,16,129,28
79,COMPLETE,0.7084,3.8,0,768,18,20,0.01355853570988938,4,109,39
80,COMPLETE,0.7116,4.2,0,448,12,25,0.0006033530480808745,3,248,44
81,COMPLETE,0.9181,8.9,0,512,32,79,0.00241166977928327,17,408,45
82,COMPLETE,0.9292,15.4,0,320,38,93,0.008262071760967276,18,518,62
83,COMPLETE,0.8956999999999999,8.2,0,448,26,93,0.0021634309551790266,14,364,60
84,COMPLETE,0.9101,7.9,0,576,26,82,0.0012449760054128506,13,444,41
85,COMPLETE,0.9393,10.4,0,640,36,67,0.003350628327120602,13,661,38
86,COMPLETE,0.8952,7.6,0,512,18,89,0.0010155863005136254,9,558,37
87,COMPLETE,0.8248000000000001,5.8,0,640,18,100,0.0007824514253853533,9,220,37
88,COMPLETE,0.6965,4.6,0,896,18,82,0.0001026863832287342,4,94,40
89,COMPLETE,0.9095,8.8,0,704,32,75,0.00149816379436294,12,535,30
90,COMPLETE,0.9355,13.3,0,768,50,67,0.009398857671997937,13,788,34
91,COMPLETE,0.8983,7.2,0,576,26,71,0.000520418808378944,12,358,49
92,COMPLETE,0.6328,3.4,0,704,12,32,0.006092469576457995,4,85,49
93,COMPLETE,0.5266,3.0,0,960,12,28,0.01278422373912904,2,57,46
94,COMPLETE,0.8906999999999999,7.8,0,832,34,30,0.00010609766764721013,14,413,59
95,COMPLETE,0.8695999999999999,6.5,0,576,26,68,0.0007096844442638676,12,241,54
96,COMPLETE,0.7939,6.1,0,768,26,69,0.000416792447161712,12,262,19
97,COMPLETE,0.5777,67.1,0,128,56,57,0.009294281256657539,13,619,15
98,COMPLETE,0.7609999999999999,96.2,0,256,16,97,0.03110064955991314,8,321,23
99,COMPLETE,0.8434999999999999,6.9,0,640,30,62,0.0031611682572353543,12,177,26
