tier,config,mode,non_zeros,k_graph,k_ext,prune_worst,eps_ext,load_s,quant_s,build_s,convert_s,max_dist,evpK,explore_rerank_s,total_s,recall
B,B_7_kg28,mode7,576,28,34,10,0.002,27.1,16.7,231.1,1.2,1000,50,279.8,556.7,0.8598
B,B_7_kg28,mode7,576,28,34,10,0.002,27.1,16.7,231.1,1.2,1200,50,331.9,608.8,0.8701
B,B_7_kg28,mode7,576,28,34,10,0.002,27.1,16.7,231.1,1.2,1400,50,382.0,658.9,0.8785
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,400,50,121.0,403.4,0.8148
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,500,50,145.3,427.7,0.8271
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,600,50,172.0,454.4,0.8372
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,700,50,197.2,479.6,0.8457
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,800,50,223.2,505.6,0.8531
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,900,50,248.6,531.0,0.8596
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,1000,50,274.2,556.6,0.8653
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,1200,50,326.9,609.3,0.8752
B,B_7_kg32,mode7,512,32,24,11,0.002,34.8,16.6,228.8,1.3,1400,50,378.0,660.4,0.8832
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,400,50,121.6,361.3,0.7886
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,500,50,146.8,386.5,0.8028
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,600,50,171.5,411.2,0.8145
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,700,50,198.7,438.4,0.8244
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,800,50,226.5,466.2,0.8329
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,900,50,252.9,492.6,0.8404
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,1000,50,280.0,519.7,0.847
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,1200,50,333.6,573.3,0.8581
B,B_7_kg26,mode7,608,26,32,9,0.002,35.7,16.1,186.1,1.1,1400,50,386.7,626.4,0.8672
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,400,50,122.0,498.7,0.8568
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,500,50,147.4,524.1,0.8671
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,600,50,172.7,549.4,0.875
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,700,50,195.8,572.5,0.8815
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,800,50,221.6,598.3,0.887
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,900,50,247.4,624.1,0.8918
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,1000,50,274.2,650.9,0.8961
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,1200,50,323.1,699.8,0.9034
B,B_7_kg40,mode7,512,40,31,14,0.002,31.9,16.7,325.4,1.5,1400,50,366.6,743.3,0.9095
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,600,20,55.1,269.3,0.6982
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,800,20,56.2,270.4,0.6997
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,1000,20,56.7,270.9,0.7001
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,600,30,73.5,287.7,0.7565
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,800,30,83.3,297.5,0.7648
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,1000,30,87.4,301.6,0.7679
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,600,75,106.1,320.3,0.789
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,800,75,127.4,341.6,0.8089
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,1000,75,147.6,361.8,0.8235
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,600,100,119.7,333.9,0.79
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,800,100,142.6,356.8,0.8106
C,C_4_kg24_evpk,mode4,640,24,30,8,0.002,36.6,15.2,161.8,0.0,1000,100,165.0,379.2,0.8261
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,600,20,57.3,318.1,0.729
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,800,20,58.4,319.2,0.7302
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,1000,20,58.4,319.2,0.7306
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,600,30,75.7,336.5,0.7897
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,800,30,87.4,348.2,0.7974
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,1000,30,92.6,353.4,0.8004
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,600,75,107.1,367.9,0.8235
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,800,75,129.3,390.1,0.8399
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,1000,75,150.3,411.1,0.8524
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,600,100,120.9,381.7,0.8245
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,800,100,144.0,404.8,0.8416
C,C_4_kg28_evpk,mode4,576,28,34,10,0.002,21.3,15.9,222.8,0.0,1000,100,166.5,427.3,0.8548
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,600,20,57.3,319.8,0.7315
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,800,20,59.4,321.9,0.7334
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,1000,20,59.9,322.4,0.7339
C,C_4_kg32_evpk,mode4,512,32,24,11,0.002,23.4,16.0,222.2,0.0,600,30,73.6,336.1,0.7933
